PlayerName,FirstAppearance,LatestAppearance,g,pa,ab,r,h,rbi,2b,3b,hr,bb,sb,cs,hbp,sh,sf,so,ibb,gdp,MainPos,Pos_1b,Pos_2b,Pos_3b,Pos_c,Pos_cf,Pos_dh,Pos_lf,Pos_p,Pos_ph,Pos_pr,Pos_rf,Pos_ss,avg_value,avg_label,obp_value,obp_label,slg_value,slg_label,ops_value,ops_label,iso_value,iso_label
"
Aldrich De Jongh
","June 29, 2018 (AZL White Sox - <b>AZL Dodgers</b>)","September 7, 2019 (Orem Owlz - <b>Ogden Raptors</b>)",77,318,289,40,79,36,14,6,4,21,8,2,1,1,5,68,1,2,Left Fielder,0,0,0,0,21,0,36,0,0,0,14,0,0.27335640138408307,.273,0.32075471698113206,.320,0.40484429065743943,.404,0.7255990076385714,.725,0.1314878892733564,.131
"
Andrelton Simmons
","June 22, 2010 (Princeton Rays - <b>Danville Braves</b>)","September 21, 2020 (<b>Los Angeles Angels of Anaheim</b> - Texas Rangers)",1311,5393,4933,593,1358,512,246,32,73,333,123,47,41,28,40,468,18,167,Shortstop,0,0,0,0,0,2,0,0,2,4,0,1305,0.27528887086965337,.275,0.3242864647172124,.324,0.382525846340969,.382,0.7070205617127472,.707,0.10723697547131562,.107
"
Calvin Maduro
","September 8, 1996 (<b>Philadelphia Phillies</b> - Chicago Cubs)","July 15, 2001 (Florida Marlins - <b>Baltimore Orioles</b>)",20,25,24,1,1,0,0,0,0,0,0,0,0,1,0,14,0,0,Pitcher,0,0,0,0,0,0,0,19,0,1,0,0,0.041666666666666664,.041,0.323047419804742,.323,0.041666666666666664,.041,0.08166666666666667,.081,0.0,.000
"
Carter Kieboom
","June 24, 2016 (GCL Mets - <b>GCL Nationals</b>)","September 21, 2020 (<b>Washington Nationals</b> - Philadelphia Phillies)",373,1632,1397,245,386,219,80,8,47,191,18,8,26,0,13,343,5,36,Shortstop,0,38,39,0,0,1,0,0,2,1,0,274,0.2763063707945598,.276,0.3340119435396308,.334,0.44595561918396565,.445,0.8185046387918088,.818,0.16964924838940587,.169
"
Ceddanne Rafaela
","June 2, 2018 (<b>DSL Red Sox 1</b> - DSL Dodgers Robinson)","September 2, 2019 (Connecticut Tigers - <b>Lowell Spinners</b>)",98,413,367,61,95,46,10,6,9,28,28,9,9,4,5,70,0,4,Third Baseman,0,14,58,0,0,0,0,0,0,0,0,21,0.25885558583106266,.258,0.33324765454311783,.333,0.3923705722070845,.392,0.711983163006116,.711,0.1335149863760218,.133
"
Chadwick Tromp
","August 1, 2013 (<b>AZL Reds</b> - AZL Dodgers)","September 21, 2020 (<b>San Francisco Giants</b> - Colorado Rockies)",352,1304,1176,137,302,167,64,2,27,93,4,7,17,5,12,231,1,32,Catcher,0,0,0,303,0,1,0,0,1,0,0,0,0.2568027210884354,.256,0.33087506879471656,.330,0.3835034013605442,.383,0.7002211927715871,.700,0.12670068027210885,.126
"
Darren Seferina
","June 29, 2014 (<b>State College Spikes</b> - Williamsport Crosscutters)","September 2, 2018 (Kane County Cougars - <b>Wisconsin Timber Rattlers</b>)",444,1871,1659,235,441,131,70,33,18,182,111,42,5,10,12,388,3,24,Second Baseman,0,321,36,0,0,0,0,0,0,0,0,26,0.26582278481012656,.265,0.3319642205184374,.331,0.38034960819770947,.380,0.7176024141838131,.717,0.11452682338758288,.114
"
Darryl Collins
","June 18, 2019 (<b>AZL Royals</b> - AZL Brewers Blue)","August 24, 2019 (AZL Rangers - <b>AZL Royals</b>)",48,208,181,24,58,25,7,7,0,22,1,2,3,1,1,30,0,0,Left Fielder,0,0,0,0,0,0,46,0,0,0,0,0,0.32044198895027626,.320,0.33321390182730204,.333,0.43646408839779005,.436,0.8355025499362516,.835,0.11602209944751381,.116
"
Dashenko Ricardo
","June 20, 2008 (<b>GCL Orioles</b> - GCL Twins)","July 29, 2019 (Gwinnett Stripers - <b>Durham Bulls</b>)",218,774,731,62,154,66,28,4,5,26,3,6,6,7,4,177,0,19,Catcher,0,0,0,197,0,0,0,0,0,0,0,0,0.2106703146374829,.210,0.3271904841682024,.327,0.280437756497948,.280,0.5207478340173278,.520,0.06976744186046512,.069
"
Didi Gregorius
","June 24, 2008 (GCL Orioles - <b>GCL Reds</b>)","September 27, 2020 (Tampa Bay Rays - <b>Philadelphia Phillies</b>)",1516,6238,5658,772,1514,687,252,56,153,387,84,44,68,49,49,825,27,70,Shortstop,0,54,2,0,0,2,0,0,24,4,0,1424,0.2675857193354542,.267,0.32471390845070425,.324,0.41304347826086957,.413,0.7330178290143161,.733,0.14545775892541535,.145
"
Edmond Americaan
","July 16, 2018 (AZL Cubs 2 - <b>AZL Cubs 1</b>)","September 1, 2019 (Salem-Keizer Volcanoes - <b>Eugene Emeralds</b>)",104,440,392,60,109,41,23,7,4,35,27,12,10,2,1,104,0,3,Center Fielder,0,0,0,0,45,0,17,0,0,0,36,0,0.2780612244897959,.278,0.3253115599484315,.325,0.4030612244897959,.403,0.7530612244897958,.753,0.125,.125
