Name,Id,league
Jake Cronenworth,630105,MILB
Jake Elmore,518653,MILB
Ali Castillo,542419,MILB
Ryan McBroom,643436,MILB
Ryan Mountcastle,663624,MILB
Ryan LaMarre,534606,MILB
Mason Williams,592863,MILB
Kean Wong,642221,MILB
Daniel Johnson,669288,MILB
Willi Castro,650489,MILB
Wilin Rosario,501647,MILB
Christian Colon,518568,MILB
Andrew Romine,461865,MILB
Nate Lowe,663993,MILB
Travis Demeritte,641513,MILB
Alcides Escobar,444876,MILB
Rafael Ortega,542364,MILB
Nick Longhi,641802,MILB
Deivy Grullon,620453,MILB
Socrates Brito,593647,MILB
Brian O'Grady,657434,MILB
Danny Mendick,664901,MILB
Rusney Castillo,628329,MILB
Jantzen Witte,642220,MILB
Cole Sturgeon,657017,MILB
Andy Burns,542992,MILB
Trey Amburgey,664011,MILB
Danny Woodrow,670143,MILB
Richard Urena,620446,MILB
Jack Lopez,605346,MILB
Zach Vincej,572227,MILB
Sean Kazmar Jr.,453527,MILB
Mark Mathias,664029,MILB
Jacob Robson,615699,MILB
Adam Duvall,594807,MILB
Pedro Florimon,465753,MILB
Ke'Bryan Hayes,663647,MILB
Bobby Bradley,656252,MILB
Daniel Palka,594953,MILB
Ryan Flaherty,475247,MILB
Malquin Canelo,622541,MILB
Andres Blanco,433217,MILB
Mikie Mahtook,543484,MILB
Kevin Kramer,596012,MILB
Jason Martin,641829,MILB
Drew Maggi,543482,MILB
Christopher Bostick,607471,MILB
Danny Espinosa,457787,MILB
Zander Wiel,605530,MILB
Rene Rivera,425784,MILB
Brandon Barnes,488681,MILB
Will Craig,643269,MILB
Matt Skole,605474,MILB
Dilson Herrera,599096,MILB
Gregor Blanco,453923,MILB
Jack Reinheimer,595373,MILB
Patrick Kivlehan,623182,MILB
Jordan Patterson,641958,MILB
Travis Taijeron,607369,MILB
Blake Trahan,664167,MILB
Eric Haase,606992,MILB
Gorkys Hernandez,491676,MILB
Daz Cameron,663662,MILB
Josh Ockimey,656807,MILB
Bryse Wilson,669060,MILB
Odrisamer Despaigne,628333,MILB
Teddy Stankiewicz,621103,MILB
Michael Peoples,621191,MILB
Kyle Wright,657140,MILB
Keegan Akin,669211,MILB
Erasmo Ramirez,541640,MILB
Keury Mella,622492,MILB
Aaron Slegers,642083,MILB
Shao-Ching Chiang,623992,MILB
Alex McRae,656725,MILB
Brody Koerner,621259,MILB
Vladimir Gutierrez,661269,MILB
Justin Nicolino,592593,MILB
Eduardo Vera,622747,MILB
David Freitas,571679,MILB
Corban Joseph,543377,MILB
Yonathan Daza,602074,MILB
Mark Payton,592622,MILB
Brian Mundell,621521,MILB
Jared Walsh,665120,MILB
Yadiel Hernandez,628450,MILB
Pat Valaika,642162,MILB
Sheldon Neuse,641914,MILB
Seth Mejias-Brean,623180,MILB
Jose Marmolejos,592530,MILB
Cory Spangenberg,605486,MILB
Roberto Ramos,657733,MILB
Mike Gerber,595222,MILB
Taylor Ward,621493,MILB
Isan Diaz,656371,MILB
Elliot Soto,519303,MILB
Carter Kieboom,666198,MILB
Mauricio Dubon,643289,MILB
Tim Lopes,621005,MILB
Alec Keller,657636,MILB
Yasmany Tomas,630111,MILB
Jim Adduci,451192,MILB
Connor Joe,656582,MILB
Andy Ibanez,628451,MILB
Domingo Leyba,642736,MILB
Mat Batten,676946,MILB
Rangel Ravelo,592660,MILB
Seth Brown,664913,MILB
Matt Reynolds,608703,MILB
Nick Tanielu,657027,MILB
Franklin Barreto,620439,MILB
John Nogowski,596056,MILB
Jose Rojas,670351,MILB
Edmundo Sosa,624641,MILB
Taylor Jones,622100,MILB
Jason Vosler,613564,MILB
Zack Granite,643335,MILB
Jorge Mateo,622761,MILB
Boog Powell,621471,MILB
Juniel Querecuto,578570,MILB
Jack Mayfield,608686,MILB
Drew Weeks,607178,MILB
Jake Noll,669738,MILB
Brennon Lund,641807,MILB
Zach Reks,676646,MILB
Abiatal Avelino,623214,MILB
Phillip Evans,595943,MILB
Drew Ferguson,664916,MILB
Dustin Fowler,641583,MILB
Alex De Goti,621008,MILB
Eric Campbell,493472,MILB
Nate Orf,644337,MILB
Erick Mejia,625510,MILB
Edwin Rios,621458,MILB
Abraham Almonte,501659,MILB
Ian Miller,641878,MILB
Jarrett Parker,592620,MILB
