Name,Id,league
Albert Abreu,656061,MLB
Bryan Abreu,650556,MLB
Jose Abreu,547989,MLB
Ronald Acuna Jr.,660670,MLB
Jason Adam,592094,MLB
Willy Adames,642715,MLB
Austin Adams,613534,MLB
Chance Adams,664856,MLB
Matt Adams,571431,MLB
Jo Adell,666176,MLB
Ehire Adrianza,501303,MLB
Jesus Aguilar,542583,MLB
Nick Ahmed,605113,MLB
Keegan Akin,669211,MLB
Shogo Akiyama,673451,MLB
Hanser Alberto,593643,MLB
Ozzie Albies,645277,MLB
Jorge Alcala,660896,MLB
Sandy Alcantara,645261,MLB
Sergio Alcantara,642727,MLB
Scott Alexander,518397,MLB
Tyler Alexander,641302,MLB
Jorge Alfaro,595751,MLB
Anthony Alford,546990,MLB
Kolby Allard,663465,MLB
Austin Allen,664119,MLB
Greg Allen,656185,MLB
Logan Allen,663531,MLB
Abraham Almonte,501659,MLB
Yency Almonte,622075,MLB
Albert Almora Jr.,546991,MLB
Pete Alonso,624413,MLB
Dan Altavilla,656186,MLB
Jose Altuve,514888,MLB
Jose Alvarado,621237,MLB
Eddy Alvarez,657193,MLB
Jose Alvarez,501625,MLB
Yordan Alvarez,670541,MLB
Adbert Alzolay,640470,MLB
Brett Anderson,474463,MLB
Brian Anderson,605119,MLB
Chase Anderson,502624,MLB
Drew Anderson,623454,MLB
Ian Anderson,666120,MLB
Nick Anderson,623433,MLB
Shaun Anderson,641312,MLB
Tim Anderson,641313,MLB
Tyler Anderson,542881,MLB
Matt Andriese,542882,MLB
Elvis Andrus,462101,MLB
Miguel Andujar,609280,MLB
Tejay Antone,622088,MLB
Sherten Apostel,665947,MLB
Aristides Aquino,606157,MLB
Jonathan Arauz,660620,MLB
Orlando Arcia,606115,MLB
Nolan Arenado,571448,MLB
Shawn Armstrong,542888,MLB
Randy Arozarena,668227,MLB
Luis Arraez,650333,MLB
Jake Arrieta,453562,MLB
Christian Arroyo,624414,MLB
Willians Astudillo,553902,MLB
Alex Avila,488671,MLB
Luis Avilan,501593,MLB
Dakota Bacus,621290,MLB
Harrison Bader,664056,MLB
Javier Baez,595879,MLB
Michel Baez,673258,MLB
Pedro Baez,520980,MLB
Brandon Bailey,669064,MLB
Homer Bailey,456701,MLB
Anthony Banda,607455,MLB
Caleb Baragar,670056,MLB
Daniel Bard,453268,MLB
Luke Bard,572703,MLB
Scott Barlow,605130,MLB
Austin Barnes,605131,MLB
Jacob Barnes,606930,MLB
Matt Barnes,598264,MLB
Tucker Barnhart,571466,MLB
Franklin Barreto,620439,MLB
Aaron Barrett,502578,MLB
Jaime Barria,642545,MLB
Joey Bart,663698,MLB
Luis Alexander Basabe,642772,MLB
Tyler Bashlor,641341,MLB
Anthony Bass,542914,MLB
Chris Bassitt,605135,MLB
Trevor Bauer,545333,MLB
Jeremy Beasley,676886,MLB
Matt Beaty,607461,MLB
David Bednar,670280,MLB
Cam Bedrosian,592135,MLB
Jalen Beeks,656222,MLB
Josh Bell,605137,MLB
Cody Bellinger,641355,MLB
Brandon Belt,474832,MLB
Anthony Bemboom,621532,MLB
Andrew Benintendi,643217,MLB
Wes Benjamin,605138,MLB
Travis Bergen,664157,MLB
Jose Berrios,621244,MLB
Jon Berti,542932,MLB
Dellin Betances,476454,MLB
Mookie Betts,605141,MLB
Joe Biagini,607352,MLB
Bo Bichette,666182,MLB
Phil Bickford,641360,MLB
Jesse Biddle,592145,MLB
Shane Bieber,669456,MLB
Brandon Bielak,656232,MLB
Cavan Biggio,624415,MLB
Braden Bishop,623323,MLB
Ray Black,605143,MLB
Paul Blackburn,621112,MLB
Charlie Blackmon,453568,MLB
Travis Blankenhorn,663905,MLB
Richard Bleier,542947,MLB
Scott Blewett,656240,MLB
Xander Bogaerts,593428,MLB
Alec Bohm,664761,MLB
Ronald Bolanos,671790,MLB
Emilio Bonifacio,466988,MLB
Jorge Bonifacio,593528,MLB
Ryan Borucki,621366,MLB
David Bote,623520,MLB
James Bourque,630263,MLB
Brad Boxberger,502202,MLB
Matthew Boyd,571510,MLB
Brad Brach,542960,MLB
Silvino Bracho,611093,MLB
Jackie Bradley Jr.,598265,MLB
Archie Bradley,605151,MLB
Michael Brantley,488726,MLB
Rob Brantly,542963,MLB
Ryan Brasier,518489,MLB
Steven Brault,643230,MLB
Ryan Braun,460075,MLB
Ben Braymer,664069,MLB
Alex Bregman,608324,MLB
Brandon Brennan,592165,MLB
Colten Brewer,605155,MLB
Austin Brice,592169,MLB
Jose Briceno,593993,MLB
Jeff Brigham,656257,MLB
Lewis Brinson,621446,MLB
Zack Britton,502154,MLB
Connor Brogdon,641401,MLB
Mike Brosseau,670712,MLB
Rex Brothers,571521,MLB
Seth Brown,664913,MLB
JT Brubaker,664141,MLB
Jay Bruce,457803,MLB
Kris Bryant,592178,MLB
Kris Bubic,663460,MLB
Ryan Buchter,488748,MLB
Walker Buehler,621111,MLB
Madison Bumgarner,518516,MLB
Aaron Bummer,607481,MLB
Dylan Bundy,605164,MLB
Nick Burdi,595897,MLB
Zack Burdi,641420,MLB
Corbin Burnes,669203,MLB
Beau Burrows,663366,MLB
Drew Butera,460077,MLB
Ty Buttrey,621142,MLB
Byron Buxton,621439,MLB
Asdrubal Cabrera,452678,MLB
Genesis Cabrera,650893,MLB
Miguel Cabrera,408234,MLB
Trevor Cahill,502239,MLB
Lorenzo Cain,456715,MLB
Kole Calhoun,594777,MLB
Willie Calhoun,641432,MLB
Johan Camargo,622666,MLB
Daz Cameron,663662,MLB
Luis Campusano,669134,MLB
Jeimer Candelario,600869,MLB
Mark Canha,592192,MLB
Griffin Canning,656288,MLB
Robinson Cano,429664,MLB
Victor Caratini,605170,MLB
Dylan Carlson,666185,MLB
Matt Carpenter,572761,MLB
Carlos Carrasco,471911,MLB
Cody Carroll,606944,MLB
Curt Casali,592200,MLB
Daniel Castano,641447,MLB
Ryan Castellani,624418,MLB
Humberto Castellanos,528748,MLB
Nick Castellanos,592206,MLB
Diego Castillo,650895,MLB
Luis Castillo,622491,MLB
Anthony Castro,621593,MLB
Harold Castro,605612,MLB
Jason Castro,488771,MLB
Miguel Castro,612434,MLB
Starlin Castro,516770,MLB
Willi Castro,650489,MLB
Jake Cave,595909,MLB
Dylan Cease,656302,MLB
Blake Cederlind,664977,MLB
Francisco Cervelli,465041,MLB
Yoenis Cespedes,493316,MLB
Luis Cessa,570666,MLB
Jhoulys Chacin,468504,MLB
Andrew Chafin,605177,MLB
Yu Chang,644374,MLB
Aroldis Chapman,547973,MLB
Matt Chapman,656305,MLB
Tyler Chatwood,543022,MLB
Jesse Chavez,445926,MLB
Michael Chavis,656308,MLB
Robinson Chirinos,455139,MLB
Yonny Chirinos,630023,MLB
Jazz Chisholm Jr.,665862,MLB
Ji-Man Choi,596847,MLB
Shin-Soo Choo,425783,MLB
Adam Cimber,643256,MLB
Steve Cishek,518553,MLB
Jose Cisnero,542585,MLB
Aaron Civale,650644,MLB
Taylor Clarke,664199,MLB
Alex Claudio,592222,MLB
Garrett Cleavinger,664076,MLB
Mike Clevinger,605182,MLB
Tyler Clippard,461325,MLB
Alex Cobb,502171,MLB
Kyle Cody,621129,MLB
A.J. Cole,595918,MLB
Gerrit Cole,543037,MLB
Edwar Colina,666674,MLB
Zack Collins,641470,MLB
Alex Colome,517008,MLB
Christian Colon,518568,MLB
Michael Conforto,624424,MLB
William Contreras,661388,MLB
Willson Contreras,575929,MLB
Sam Coonrod,656322,MLB
Garrett Cooper,643265,MLB
Patrick Corbin,571578,MLB
Ryan Cordell,641477,MLB
Franchy Cordero,614173,MLB
Jimmy Cordero,622772,MLB
Carlos Correa,621043,MLB
Nestor Cortes,641482,MLB
Danny Coulombe,543056,MLB
Dylan Covey,592229,MLB
Will Craig,643269,MLB
Brandon Crawford,543063,MLB
J.P. Crawford,641487,MLB
Stefan Crichton,592233,MLB
Kyle Crick,605195,MLB
Nabil Crismatt,622503,MLB
Garrett Crochet,676979,MLB
C.J. Cron,543068,MLB
Kevin Cron,605196,MLB
Jake Cronenworth,630105,MLB
Wil Crowe,640444,MLB
Jesus Cruz,672911,MLB
Nelson Cruz,443558,MLB
Johnny Cueto,456501,MLB
Charlie Culberson,518586,MLB
John Curtiss,595928,MLB
Cheslor Cuthbert,596144,MLB
Travis d'Arnaud,518595,MLB
David Dahl,621311,MLB
Bobby Dalbec,666915,MLB
Yu Darvish,506433,MLB
Matt Davidson,571602,MLB
Tucker Davidson,656353,MLB
Zach Davies,605200,MLB
Austin Davis,656354,MLB
Chris Davis,448801,MLB
J.D. Davis,605204,MLB
Jaylin Davis,664041,MLB
Jonathan Davis,641505,MLB
Khris Davis,501981,MLB
Wade Davis,451584,MLB
Grant Dayton,594795,MLB
Chase De Jong,608328,MLB
Jose De Leon,592254,MLB
Austin Dean,621573,MLB
Jacob deGrom,594798,MLB
Paul DeJong,657557,MLB
Miguel Del Pozo,600887,MLB
Nicky Delmonico,547170,MLB
Travis Demeritte,641513,MLB
Matt Dermody,571616,MLB
Anthony DeSclafani,543101,MLB
Delino DeShields,592261,MLB
Ross Detwiler,446321,MLB
Chris Devenski,606965,MLB
Rafael Devers,646240,MLB
Aledmys Diaz,649557,MLB
Edwin Diaz,621242,MLB
Elias Diaz,553869,MLB
Isan Diaz,656371,MLB
Jairo Diaz,545064,MLB
Lewin Diaz,650331,MLB
