Name,Id,league
Jesus Sanchez,660821,MILB
Chris Gittens,656467,MILB
Travis Demeritte,641513,MILB
Owen Miller,680911,MILB
Orlando Arcia,606115,MILB
Christian Colon,518568,MILB
Vidal Brujan,660644,MILB
Edward Olivares,658668,MILB
Victor Reyes,622682,MILB
Dustin Fowler,641583,MILB
Cornelius Randolph,663524,MILB
Abraham Almonte,501659,MILB
Josh Lowe,666139,MILB
Zach Green,608339,MILB
Anderson Miller,663402,MILB
Marco Hernandez,668549,MILB
Ryan Lavarnway,543432,MILB
Breyvic Valera,591971,MILB
P.J. Higgins,664731,MILB
Chris Sharpe,676426,MILB
Taylor Walls,670764,MILB
Sergio Alcantara,642727,MILB
Taylor Gushue,656494,MILB
Drew Waters,671221,MILB
Ryan Boldt,624416,MILB
Alek Manoah,666201,MILB
Drew Strotman,675977,MILB
Konner Wade,592831,MILB
Tucker Davidson,656353,MILB
Tony Santillan,663574,MILB
Nick Neidert,663734,MILB
Jackson Kowar,663804,MILB
Connor Overton,656818,MILB
Bernardo Flores Jr.,641576,MILB
Miguel Yajure,664337,MILB
James Marvel,621086,MILB
Vladimir Gutierrez,661269,MILB
Nick Allgeyer,680430,MILB
Kyle Hart,606996,MILB
Kirk McCarty,668948,MILB
Riley O'Brien,676617,MILB
Joe Biagini,607352,MILB
Mike Wright,605541,MILB
Ryan Weber,543901,MILB
Bailey Falter,663559,MILB
Thomas Parsons,682418,MILB
Randy Dobnak,677976,MILB
Deivi Garcia,665620,MILB
Connor Johnstone,641733,MILB
Kohl Stewart,640464,MILB
Taylor Trammell,666211,MILB
Delino DeShields,592261,MILB
Jose Siri,642350,MILB
Jason Martin,641829,MILB
Scott Schebler,594988,MILB
Curtis Terry,663799,MILB
Jake Meyers,676694,MILB
Bryce Johnson,669369,MILB
Ronnie Dawson,669008,MILB
Joey Bart,663698,MILB
Thairo Estrada,642731,MILB
Bryan De La Cruz,650559,MILB
Dillon Thomas,605504,MILB
Taylor Motter,600301,MILB
Taylor Jones,622100,MILB
Nick Longhi,641802,MILB
Francisco Pena,506747,MILB
Cal Raleigh,663728,MILB
Zach Reks,676646,MILB
Luis Barrera,642456,MILB
Seth Beer,666179,MILB
Ivan Castillo,622668,MILB
Rangel Ravelo,592660,MILB
Frank Schwindel,643524,MILB
Jacob Wilson,607111,MILB
Jesse Scholtens,669947,MILB
Evan Miller,670377,MILB
Andrew Wantz,681806,MILB
Daniel Camarena,547176,MILB
Drew Anderson,623454,MILB
Paul Blackburn,621112,MILB
Sam Gaviglio,543208,MILB
Shawn Dubin,681869,MILB
Jack Wynkoop,622063,MILB
Ryan Hartman,670057,MILB
Thomas Pannone,623381,MILB
Brandon Gold,641620,MILB
MacKenzie Gore,669022,MILB
Ryan Castellani,624418,MILB
Yefry Ramirez,606162,MILB
Anthony Banda,607455,MILB
Parker Dunshee,670161,MILB
Aaron Wilkerson,658792,MILB
Grant Holmes,656550,MILB
Jonah Bride,681146,MILB
Jake Scheiner,676595,MILB
Rudy Martin,657675,MILB
Nick Pratto,668472,MILB
Jose Miranda,669304,MILB
Carlos Rincon,665779,MILB
Alek Thomas,677950,MILB
Michael Busch,683737,MILB
Marty Costes,664753,MILB
David Hensley,682073,MILB
Nolan Gorman,669357,MILB
Kyle Overstreet,664963,MILB
MJ Melendez,669004,MILB
Aaron Whitefield,664334,MILB
CJ Abrams,682928,MILB
Joe Rizzo,666143,MILB
Stephen Wrenn,642227,MILB
Steele Walker,667727,MILB
Mark Contreras,676628,MILB
Clay Dungan,687867,MILB
Ryan Noda,676116,MILB
Ernie De La Trinidad,670797,MILB
Brian O'Keefe,657247,MILB
