Name,Tournament,Year,id,ab,r,h,2B,3B,hr,rbi,tb,avg,slg,obp,ops,bb,hbp,so,gdp,sf,sh,sb,cs
BERNADINA Roger,A-Team-Europe-Africa,2019,26550,20,5,5,1,0,0,3,6,.250,.300,.348,.648,3,0,1,1,0,0,0,0
CLEMENTINA Hendrik,A-Team-Europe-Africa,2019,27069,12,3,4,2,0,0,1,6,.333,.500,.500,1.000,3,1,0,0,0,0,0,0
DAAL Calten,A-Team-Europe-Africa,2019,26543,11,1,5,1,0,0,0,6,.455,.545,.455,1.000,0,0,1,1,0,1,1,0
DECASTER Yurendell,A-Team-Europe-Africa,2019,26541,12,3,5,1,0,0,5,6,.417,.500,.462,.962,1,0,1,1,0,0,0,0
KEMP Dwayne,A-Team-Europe-Africa,2019,26546,17,3,4,0,0,0,0,4,.235,.235,.350,.585,2,1,1,1,0,0,1,0
LOOPSTOK Sicnarf,A-Team-Europe-Africa,2019,26539,8,1,2,0,0,0,1,2,.250,.250,.333,.583,0,1,0,0,0,0,0,0
POLONIUS Johnathan,A-Team-Europe-Africa,2019,26544,14,1,3,1,0,0,0,4,.214,.286,.313,.599,1,1,3,0,0,2,0,0
RICARDO Dashenko,A-Team-Europe-Africa,2019,26538,4,0,1,0,0,0,0,1,.250,.250,.250,.500,0,0,0,1,0,0,0,0
RIFAELA Ademar,A-Team-Europe-Africa,2019,26549,18,2,4,1,0,1,4,8,.222,.444,.318,.762,3,0,0,0,1,0,0,0
SAMS Kalian,A-Team-Europe-Africa,2019,26547,18,3,3,1,0,0,4,4,.167,.222,.286,.508,3,0,4,0,0,0,0,1
SCHOOP Sharlon,A-Team-Europe-Africa,2019,26542,17,3,4,0,0,1,4,7,.235,.412,.316,.728,2,0,3,0,0,0,0,0
SMITH Curt Sciene,A-Team-Europe-Africa,2019,26540,5,1,0,0,0,0,1,0,.000,.000,.143,.143,1,0,0,1,1,0,0,0
