Name,Tournament,Year,id,ab,r,h,2B,3B,hr,rbi,tb,avg,slg,obp,ops,bb,hbp,so,gdp,sf,sh,sb,cs
BERNADINA Roger,A-Team-Premier12,2019,27520,6,1,1,0,0,1,1,4,.167,.667,.500,1.167,4,0,1,0,0,0,0,1
CLEMENTINA Hendrik,A-Team-Premier12,2019,27527,8,0,2,0,0,0,0,2,.250,.250,.250,.500,0,0,3,0,0,0,0,0
DAAL Calten,A-Team-Premier12,2019,27531,8,1,2,0,0,0,0,2,.250,.250,.250,.500,0,0,1,0,0,0,0,0
DE CASTER Yurendell,A-Team-Premier12,2019,27535,6,0,1,0,0,0,2,1,.167,.167,.286,.453,1,0,0,0,0,0,0,0
DIDDER Ray-Patrick,A-Team-Premier12,2019,27708,7,0,2,1,0,0,0,3,.286,.429,.286,.715,0,0,2,0,0,0,1,0
KEMP Dwayne,A-Team-Premier12,2019,27548,4,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,1,0,0,0,0,0
LAMPE Gilmer,A-Team-Premier12,2019,27599,5,0,1,1,0,0,0,2,.200,.400,.200,.600,0,0,2,0,0,0,0,0
LOOPSTOK Sicnarf,A-Team-Premier12,2019,27550,3,0,0,0,0,0,0,0,.000,.000,.250,.250,1,0,1,0,0,0,0,0
PROFAR Juremi,A-Team-Premier12,2019,27558,7,0,1,0,0,0,0,1,.143,.143,.143,.286,0,0,0,0,0,0,0,0
RIFAELA Ademar,A-Team-Premier12,2019,27560,7,0,3,0,0,0,0,3,.429,.429,.500,.929,1,0,1,0,0,0,0,0
SAMS Kalian,A-Team-Premier12,2019,27561,7,1,1,0,0,0,0,1,.143,.143,.250,.393,1,0,5,0,0,0,0,0
SCHOOP Sharlon,A-Team-Premier12,2019,27562,6,1,2,0,0,0,0,2,.333,.333,.500,.833,2,0,1,0,0,0,0,0
SMITH Curt Sciene,A-Team-Premier12,2019,27563,3,0,0,0,0,0,0,0,.000,.000,.250,.250,1,0,1,0,0,0,0,0
TROMP Chadwick,A-Team-Premier12,2019,27567,8,1,1,0,0,1,2,4,.125,.500,.222,.722,1,0,1,0,0,0,0,0
WAWOE Gianfranco,A-Team-Premier12,2019,27601,6,1,1,0,0,0,0,1,.167,.167,.167,.334,0,0,0,2,0,0,0,0
