Name,Tournament,Year,id,ab,r,h,2B,3B,hr,rbi,tb,avg,slg,obp,ops,bb,hbp,so,gdp,sf,sh,sb,cs
APOSTEL Sherten,U-18-WorldCup,2017,20736,23,3,7,4,0,0,3,11,.304,.478,.429,.907,4,1,5,0,0,0,0,0
BRYSON Denzel Youssri Ignacio,U-18-WorldCup,2017,20714,24,4,6,0,0,0,1,6,.250,.250,.357,.607,3,1,6,0,0,1,1,0
HALDERMAN Koen,U-18-WorldCup,2017,20717,13,1,0,0,0,0,0,0,.000,.000,.235,.235,4,0,5,0,0,1,0,0
HATMA Enrique Starling,U-18-WorldCup,2017,20746,17,1,1,0,0,1,1,4,.059,.235,.111,.346,1,0,10,0,0,0,0,0
JULIANA Richgelon Natanael,U-18-WorldCup,2017,20739,31,6,6,3,0,0,3,9,.194,.290,.286,.576,3,1,11,1,0,0,1,0
KELKBOOM Makesiondon Juroney,U-18-WorldCup,2017,20734,33,2,8,3,0,0,4,11,.242,.333,.286,.619,2,0,10,0,0,0,1,0
KOSTER Dylan,U-18-WorldCup,2017,20720,22,6,8,0,0,0,3,8,.364,.364,.462,.826,4,0,4,1,0,0,1,0
SELASSA Delano Quentin,U-18-WorldCup,2017,20724,32,5,8,1,0,0,2,9,.250,.281,.294,.575,1,1,8,1,0,0,0,0
TAKKE Tijmen,U-18-WorldCup,2017,20725,21,3,4,2,0,0,6,6,.190,.286,.346,.632,5,0,8,0,0,0,0,0
TROMP Jeandro Jeremy,U-18-WorldCup,2017,20727,23,6,3,0,0,1,5,6,.130,.261,.412,.673,11,0,6,0,0,1,0,0
VAN DE SANDEN Tommy Ferdinando,U-18-WorldCup,2017,20723,9,2,3,0,1,0,1,5,.333,.556,.500,1.056,3,0,2,1,0,0,0,0
